trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
157635865,480597,189808,19704483,eatout,1,True,1,eatout,903,950,,13.0,DRIVEALONEFREE,-0.6984604617676449
157635869,480597,189808,19704483,eatout,1,False,1,Home,950,903,,15.0,DRIVEALONEFREE,-0.8817666464630074
157635889,480597,189808,19704486,escort,1,True,1,escort,950,950,,13.0,SHARED3FREE,0.6204377618959284
157635893,480597,189808,19704486,escort,1,False,4,othdiscr,900,950,13.254606778228382,13.0,DRIVEALONEFREE,-0.3155072195687527
157635894,480597,189808,19704486,escort,2,False,4,othmaint,924,900,11.733411374048792,13.0,DRIVEALONEFREE,-0.23495403573746626
157635895,480597,189808,19704486,escort,3,False,4,eatout,947,924,11.811664590783847,13.0,SHARED3FREE,-0.0980136770002885
157635896,480597,189808,19704486,escort,4,False,4,Home,950,947,,13.0,SHARED3FREE,-0.17572456696551048
157636017,480597,189808,19704502,othdiscr,1,True,1,othdiscr,991,950,,11.0,DRIVEALONEFREE,-1.2110856322225652
157636021,480597,189808,19704502,othdiscr,1,False,1,Home,950,991,,12.0,SHARED3FREE,-1.3719804966217455
159382377,485921,192149,19922797,social,1,True,1,social,952,951,,17.0,WALK,-3.767237606821065
159382381,485921,192149,19922797,social,1,False,1,Home,951,952,,23.0,WALK,-3.7676045778333984
159382569,485921,192149,19922821,shopping,1,True,1,shopping,991,951,,12.0,SHARED2FREE,-0.7992545056459904
159382573,485921,192149,19922821,shopping,1,False,1,Home,951,991,,15.0,SHARED2FREE,-1.1054171208393972
167812593,511623,203307,20976574,school,1,True,1,school,878,961,,8.0,SHARED3FREE,-2.6365612450439317
167812597,511623,203307,20976574,school,1,False,2,shopping,909,878,3.7453903135139934,14.0,SHARED3FREE,-2.342894279337755
167812598,511623,203307,20976574,school,2,False,2,Home,961,909,,19.0,SHARED2FREE,-2.542161757225248
167812921,511624,203307,20976615,school,1,True,1,school,961,961,,8.0,SHARED3FREE,-1.3125996957821169
167812925,511624,203307,20976615,school,1,False,1,Home,961,961,,14.0,SHARED3FREE,-1.3427360786280886
167813073,511625,203307,20976634,escort,1,True,1,escort,959,961,,15.0,SHARED3FREE,0.8735954043838329
167813077,511625,203307,20976634,escort,1,False,1,Home,961,959,,16.0,SHARED3FREE,0.861664316876982
167813105,511624,203307,20976638,eatout,1,True,1,eatout,1005,961,,14.0,SHARED3FREE,-0.6119943601848749
167813109,511624,203307,20976638,eatout,1,False,1,Home,961,1005,,18.0,SHARED2FREE,-0.6821801447602563
167813577,511626,203307,20976697,school,1,True,1,school,961,961,,7.0,WALK,-1.2211905365598446
167813581,511626,203307,20976697,school,1,False,1,Home,961,961,,14.0,WALK,-1.2211905365598446
167814297,511628,203307,20976787,work,1,True,1,work,17,961,,7.0,DRIVE_HVY,-2.506635096980216
167814301,511628,203307,20976787,work,1,False,1,Home,961,17,,19.0,DRIVE_HVY,-1.6097651596336215
167904121,511902,202622,20988015,shopping,1,True,2,othmaint,950,961,15.492078448499585,12.0,SHARED2FREE,0.7355503484799006
167904122,511902,202622,20988015,shopping,2,True,2,shopping,954,950,,13.0,SHARED2FREE,1.219413010850231
167904125,511902,202622,20988015,shopping,1,False,1,Home,961,954,,21.0,SHARED2FREE,0.36969956178196006
167904761,511904,202622,20988095,school,1,True,1,school,963,961,,7.0,SHARED3FREE,-2.048716274737305
167904765,511904,202622,20988095,school,1,False,2,social,976,963,-0.5723340743320451,20.0,SHARED3FREE,-3.680270179684362
167904766,511904,202622,20988095,school,2,False,2,Home,961,976,,20.0,SHARED3FREE,-2.9955383665613744
167905417,511906,202622,20988177,school,1,True,1,school,906,961,,8.0,SHARED3FREE,-3.120959189470289
167905421,511906,202622,20988177,school,1,False,1,Home,961,906,,16.0,SHARED3FREE,-3.43947410932404
167905977,511904,202622,20988247,shopping,1,True,2,othmaint,10,961,2.2735138394527836,20.0,SHARED2FREE,-5.712414771904704
167905978,511904,202622,20988247,shopping,2,True,2,shopping,102,10,,20.0,SHARED2FREE,-0.37328692938289504
167905981,511904,202622,20988247,shopping,1,False,1,Home,961,102,,21.0,SHARED2FREE,-2.8338047584923536
167906137,511908,202622,20988267,work,1,True,1,work,961,961,,8.0,WALK,-0.9915620048500596
167906141,511908,202622,20988267,work,1,False,1,Home,961,961,,17.0,WALK,-0.9915620048500596
168375897,513341,203819,21046987,eatout,1,True,1,eatout,884,844,,18.0,DRIVEALONEFREE,0.5516027542809908
168375901,513341,203819,21046987,eatout,1,False,1,Home,844,884,,18.0,SHARED2FREE,0.5172205425513192
168376073,513341,203819,21047009,othmaint,1,True,1,othmaint,778,844,,12.0,DRIVE_HVY,-0.874572905552344
168376077,513341,203819,21047009,othmaint,1,False,1,Home,844,778,,15.0,DRIVE_HVY,-0.18692913031652525
168376489,513342,203819,21047061,work,1,True,1,work,784,844,,7.0,DRIVEALONEFREE,-0.8240676225716168
168376493,513342,203819,21047061,work,1,False,1,Home,844,784,,18.0,DRIVEALONEFREE,-0.8198849512175129
168376537,513343,203819,21047067,atwork,1,True,1,atwork,742,742,,13.0,SHARED3FREE,2.59660654392593
168376541,513343,203819,21047067,atwork,1,False,1,Work,742,742,,14.0,SHARED3FREE,2.5947354972885033
168376817,513343,203819,21047102,work,1,True,1,work,742,844,,7.0,DRIVEALONEFREE,-0.47639843373952395
168376821,513343,203819,21047102,work,1,False,1,Home,844,742,,18.0,DRIVEALONEFREE,-0.5090420965790001
168377145,513344,203819,21047143,work,1,True,2,escort,863,844,9.929736436979873,8.0,DRIVEALONEFREE,-0.36951447743286336
168377146,513344,203819,21047143,work,2,True,2,work,969,863,,8.0,DRIVEALONEFREE,-0.534941756818798
168377149,513344,203819,21047143,work,1,False,2,othmaint,853,969,9.59870685420169,21.0,DRIVEALONEFREE,-1.3433567215658797
