dest_taz,utility
520,-5.9294860383104515
521,-4.7868120872685855
522,-6.349366419065364
523,-4.129892839348176
524,-7.714602302345135
525,-6.131267184873119
526,-6.1637240773324535
527,-5.051200059634368
528,-5.009556687789376
529,-4.979152587852945
530,-3.5058585716329107
531,-2.5004349982223495
532,-5.555842410088129
533,-5.190056554681355
534,-4.840806815814502
535,-4.329672051835361
536,-4.773962979105015
537,-3.6827803790296896
538,-5.838302433479376
539,-3.0682947438814736
540,-5.61515439883057
541,-4.66692196469995
542,-5.325185132716656
543,-4.7026465467478396
544,-4.168357913197823
545,-5.953631880927837
546,-5.199453367648972
547,-3.9883468885635276
548,-4.965734826101713
549,-4.22522975197523
550,-6.479086093071325
551,-4.730058604067218
552,-8.647865759386484
553,-6.203101917118337
554,-5.3634484788686025
555,-5.136170050904306
556,-6.820421012209111
557,-3.826527080201708
558,-4.388314004782524
559,-6.28551951044731
560,-5.832410601577459
561,-5.030765411851977
562,-7.35092020770764
563,-2.837352408019596
564,-4.072084853747379
565,-8.941701919353097
566,-6.009955897349462
567,-5.040769591768706
568,-6.410569210480251
569,-9.903172786758317
570,-5.479403186255438
571,-8.996541204730615
572,-8.914381190242475
573,-9.822735871221916
574,-8.506609542007112
575,-5.825594776899138
576,-6.104860017160412
577,-9.38915121708276
578,-5.047674676583838
579,-3.645897465707116
580,-5.685995428352821
581,-4.578906410317829
582,-4.303603670937653
583,-2.384154057371439
584,-5.7187569713265365
585,-4.70752492359032
586,-4.377836421640142
587,-6.656904840532354
588,-5.882828217499043
589,-5.2474874202805974
590,-2.762293937488188
591,-4.8189917147774235
592,-6.224220978530723
593,-4.37731755051369
594,-5.1412996560694015
595,-5.707389876927744
596,-3.957658990828115
597,-5.494273170781224
598,-6.193219259484816
599,-4.572480486155554
600,-5.584540081862413
601,-5.077339471586322
602,-4.176678627882844
603,-3.4900976532734873
604,-4.3491013434482495
605,-2.2384817353483957
606,-3.89977974063369
607,-0.27081458331037034
608,-1.937456162109183
609,-3.466955591021531
610,-2.866160625457691
611,-2.889744109520713
612,-3.515451034108782
613,-2.683061093124139
614,-3.614253531410607
615,-5.472531579802223
616,-5.877533276006977
617,-3.2001182173984732
618,-8.054627337945437
619,-5.627415349771217
620,-3.591701225467057
621,-2.6578565626596564
622,-5.234266313711665
623,-7.077840552456779
