TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment,TAZ,TAZ_chooser,school_segment,household_id
464,570.0,1,0,464,755,1,456291
465,1167.0,1,0,465,755,1,456291
466,589.0,1,0,466,755,1,456291
467,696.0,1,0,467,755,1,456291
468,1039.0,1,0,468,755,1,456291
469,1743.0,1,0,469,755,1,456291
470,1089.0,1,0,470,755,1,456291
471,836.0,1,0,471,755,1,456291
472,1081.0,1,0,472,755,1,456291
473,1715.0,1,0,473,755,1,456291
474,824.0,1,0,474,755,1,456291
475,862.0,1,0,475,755,1,456291
476,1262.0,1,0,476,755,1,456291
477,1000.0,1,0,477,755,1,456291
478,1306.0,1,0,478,755,1,456291
479,2010.0,1,0,479,755,1,456291
480,798.0,1,0,480,755,1,456291
481,1154.0,1,0,481,755,1,456291
482,1117.0,1,0,482,755,1,456291
483,1583.0,1,0,483,755,1,456291
484,1769.0,1,0,484,755,1,456291
485,1774.0,1,0,485,755,1,456291
486,1565.0,1,0,486,755,1,456291
487,1354.0,1,0,487,755,1,456291
488,1750.0,1,0,488,755,1,456291
489,1373.0,1,0,489,755,1,456291
490,1008.0,1,0,490,755,1,456291
491,888.0,1,0,491,755,1,456291
492,1472.0,1,0,492,755,1,456291
493,1319.0,1,0,493,755,1,456291
494,1238.0,1,0,494,755,1,456291
495,1172.0,1,0,495,755,1,456291
496,471.0,1,0,496,755,1,456291
497,1390.0,1,0,497,755,1,456291
498,829.0,1,0,498,755,1,456291
499,1311.0,1,0,499,755,1,456291
500,835.0,1,0,500,755,1,456291
501,903.0,1,0,501,755,1,456291
502,709.0,1,0,502,755,1,456291
503,878.0,1,0,503,755,1,456291
504,478.0,1,0,504,755,1,456291
505,997.0,1,0,505,755,1,456291
506,731.0,1,0,506,755,1,456291
507,901.0,1,0,507,755,1,456291
508,552.0,1,0,508,755,1,456291
509,448.0,1,0,509,755,1,456291
510,638.0,1,0,510,755,1,456291
511,1058.0,1,0,511,755,1,456291
512,704.0,1,0,512,755,1,456291
513,517.0,1,0,513,755,1,456291
514,1582.0,1,0,514,755,1,456291
515,1553.0,1,0,515,755,1,456291
516,847.0,1,0,516,755,1,456291
